H0_Wasserstein1,H0_Bottleneck,H0_PersEntropy,H0_BettiL1,H0_BettiL2,H0_LandscapeL1,H0_LandscapeL2,H1_Wasserstein1,H1_Bottleneck,H1_PersEntropy,H1_BettiL1,H1_BettiL2,H1_LandscapeL1,H1_LandscapeL2,Label
26.95785589256427,2.192705472406908,2.90137355551114,1228.0,139.82846634358827,76.74077628838897,8.906357339549267,0.2723230951086515,0.12131641598442461,1.0046995227263815,26.0,5.0990195135927845,0.9719548165196115,0.2275086423332202,Aggressive
33.772000646298494,2.1890076765059563,2.9353044794736194,1537.0,164.22849935379668,76.6113600345573,8.891337587887659,1.202386030568252,0.23531630765475206,2.0167631331263314,312.0,34.351128074635334,9.44547242588467,1.0656745891327282,Aggressive
30.144668375498117,1.7476367751805955,2.9411658866115586,1719.0,176.77386684688435,61.16416659018006,7.0985719766596365,0.8089416593837815,0.2795399842728689,1.7599935000884308,98.0,11.832159566199232,5.9993425980962884,0.823788713865629,Aggressive
24.3041002280316,1.4532218193690798,2.938180739930141,1666.0,172.96820517077697,50.86016883753767,5.902713784320358,1.4786268438333854,0.29110634390971357,2.3309637688686142,459.0,53.33854141237835,10.411624330462832,1.192779658651655,Aggressive
24.822602728117594,1.473881867334332,2.938313848404496,1679.0,173.79585725787598,51.58323362620191,5.986631014493904,0.5348627265661662,0.17888437489696965,1.559250244409844,241.0,26.095976701399778,7.098343955145944,0.8049451197431102,Aggressive
30.009628018407877,1.82225220708513,2.9381214845795185,1641.0,170.9766065869831,63.775573475192296,7.401645831287781,1.2807565780877133,0.22355514528409007,2.155399338743504,262.0,37.04051835490427,5.052443321305091,0.7051797231548428,Aggressive
37.08611372335573,2.162552099695668,2.9426833597699016,1707.0,177.03954360537648,75.6854620846835,8.783880009265538,1.9951797150009638,0.3776172180442657,2.4297794840545612,504.0,52.839379254491625,13.120500114228989,1.522936129686673,Aggressive
29.1241763419853,2.0342060108481115,2.9220823476829647,1427.0,154.52184311611094,71.19357814692489,8.262562328986702,0.005729611173964978,0.005729611173964978,-0.0,100.0,10.0,0.2005261604232027,0.023272603263032682,Aggressive
22.023778791122187,1.4267468550084765,2.935977277236885,1538.0,164.80898033784445,49.93359235802082,5.795177457114255,0.1702705705857072,0.1702705705857072,-0.0,100.0,10.0,5.959165939176925,0.6916070421353123,Aggressive
24.146235329423984,1.4229093001578625,2.938555568926342,1688.0,173.6663467687393,49.79928479050146,5.779590030877674,1.1693085938010235,0.2943210526330335,1.7742275405136192,341.0,36.207733980463345,10.572601020938217,1.2029946994797958,Aggressive
30.431548064851764,1.867958104071678,2.9400851039552194,1621.0,170.89470442351336,65.375198258294,7.5872945908724345,1.4354323089622076,0.42293991588415264,1.7937148705791335,179.0,22.9128784747792,9.68901139317137,1.3399569076640605,Aggressive
34.11619625641059,2.1107364269615867,2.9370747566475774,1610.0,169.10351859142375,73.87200605989706,8.573414489401488,0.8824241840003432,0.1447307604998637,2.3689939492732406,143.0,18.627936010197157,3.0346312595136236,0.4169519614324247,Aggressive
26.879804986743917,1.8888282119299082,2.9301437119802407,1417.0,156.3873396410336,66.10561476813422,7.672065044834179,1.1333216757873905,0.3178373082281719,1.7559360441188931,242.0,26.60826939130014,12.782679788994066,1.42754875289815,Aggressive
20.694995457687824,1.3611081117808834,2.9307957585620437,1515.0,161.81161886588984,47.63635354812699,5.5285652240257175,0.8250848295941212,0.27122415818057843,1.5904456317257067,303.0,34.07345007480164,9.492361244529187,1.1016615328747585,Aggressive
